name,website,chain_id,seeds,persistent_peers,rpcs,apis,block_height,block_speed,usd_price,usd_market_cap,usd_fully_diluted_valuation,usd_24h_volume,ibc_30d_volume,ibc_30d_transfers,30d_txs,30d_active_addresses
Stride,https://stride.zone/,stride-1,10,7,16,16,7566867,5.879218701990863,6.32,562667068,562667068,2366179,150560122,692189,719157,52438
Tenet,https://tenet.org/,tenet_1559-1,1,3,3,3,7107370,3.5270858389852573,0.085775,24057630,103008787,1338117,0,0,0,0
Teritori,https://teritori.com/,teritori-1,8,5,16,15,7312888,5.819938627895083,0.01592572,3837663,8316805,60643,453225,6685,299107,6454
Terp-Network,,morocco-1,3,1,4,4,4707199,12.242129394174624,0,0,0,0,0,0,0,0
Terra Classic,,columbus-5,4,3,5,5,16614919,6.047143541002266,0.00010696,619730238,730074916,77032380,774414,4914,8651618,44016
Terra,https://www.terra.money/,phoenix-1,6,6,13,10,8912358,6.033698073362648,0.630374,411226487,680632207,27279098,40327706,63713,1900456,36424
Tgrade,https://tgrade.finance/,tgrade-mainnet-1,1,2,2,2,8529330,5.989393836248055,0.00542709,0.0,544282,728.45,0,0,0,0
Umee,https://www.umee.cc/,umee-1,8,10,18,17,10470869,5.864057883561137,0.00376785,16716529,45194144,160614,30505165,14364,17228454,19512
Unification,https://unification.com/,FUND-MainNet-2,3,2,2,2,9125071,5.755727462912613,0.152055,0.0,18529978,9708.43,0,0,0,0
UnUniFi,https://ununifi.io/,ununifi-beta-v1,1,9,5,5,9296086,5.784221960104711,0,0,0,0,0,0,0,0
Uptick,https://uptick.network/,uptick_117-1,6,6,13,12,4721552,5.828839709459574,0,0,0,0,98,67,66189,289
Vidulum,https://vidulum.app/,vidulum-1,1,2,2,3,12320713,5.770586783165517,0.02481663,466412,466412,402.42,5287,153,4644,358
XPLA,https://xpla.io,dimension_37-1,3,8,2,4,7593702,6.099376180336835,0.18686,82137293,371557045,6896765,558455,690,567562,11853
